
Funci¢n Desc. de funci¢n
------- ------------------------------
APPMAS  XX APLICACION MASIVA
AUTEGR  AUTORIZA EGRESOS
CADCAN  ADMINISTRADOR COBRANZA
CADMET  ADMINISTRADOR COBRANZA
CADMIN  ADMINISTRADOR COBRANZA
CCONRE  XX CONTROL DE RECIBOS
CFD     CONSULTAS DE CFDS
CFDADM  CFD ADMINISTRADOR
CICLOS  CATALOGOS
CNAR    XX OPCIONES AGNAR
cob710  XX CAMBIO FECHA EMISION
COBAPY  PROCESOS DE APOYO
COBBIT  XX PROCESOS APOYO BITAL
COBCHM  CONSULTA COBRANZA HMO
COBCON  CONSULTA DE COBRANZAS
COBDEP  DESPAGO REC. CONTABILIZADOS
COBDES  XX DESBLOQUA COBRANZA
COBESP  XX PROCESOS ESPECIALES
COBHMO  INTEGRA EMITIDO HMO
COBLAP  XX LISTADOS A PETICION F
COBMON  XX GENERAR ARCHIVOS
COBRED  XX REPORTES DIARIOS A PET
COBREP  XX REPORTES CONTABLES
COBSFE  XX DERIVACION A SICFE
COBUTI  UTILERIAS DEL SISTEMA
CONCOB  XX CONSULTA EN COBRANZA
CONREH  XX CONSULTAR REABILITAR
CONREM  CONSULTA REMESAS AGENTES
CONSUL  CONSULTA  COBRANZA
CSUPER  OPCIONES DEL SUPERVISOR
DUPREC  XX DUPLICAR RECIBOS
MACFDS  MANTENIMIENTO DE CFDS
REPUSU  RPT USUARIOS Y PERFILES
SUPER   SUPERVISOR
TECNIC  XX PROCESOS P/TECNICO
UTGRAL  UTILERIA GENERAL
